time,House overall,Dishwasher,Home office,Fridge,Wine cellar,Garage door,Barn,Well,Microwave,Living room,Furnace,Kitchen,Solar,temperature,humidity,visibility,apparentTemperature,pressure,windSpeed,cloudCover,windBearing,precipIntensity,dewPoint,precipProbability,year_month
2016-01-11 04:23:00,0.96425,0.000266667,0.0423,0.005216667,0.006883333,0.013083333,0.03665,0.00105,0.004,0.001633333,0.085333333,0.0009499999999999,0.003383333,28.42,0.47,10.0,19.31,1006.78,9.97,0.09,290.0,0.0,10.74,0.0,2016-01
2016-01-31 02:54:00,1.4917,3.33e-05,0.56785,0.0049,0.007583333,0.01365,0.0309,0.001,0.004,0.001633333,0.594116667,0.0007667,0.00305,39.1,0.68,9.92,35.27,1009.07,5.19,0.0,190.0,0.0,29.51,0.0,2016-01
2016-01-11 17:03:00,0.92685,0.000233333,0.127466667,0.11775,0.12245,0.012216667,0.030183333,0.001,0.004,0.335933333,0.485033333,0.000783333,0.496116667,23.63,0.43,10.0,13.87,1017.1,9.16,0.0,283.0,0.0,4.44,0.0,2016-01
2016-01-23 14:11:00,1.095883333,5e-05,0.039016667,0.005283333,0.122216667,0.013266667,0.029983333,0.001033333,0.004166667,0.001483333,0.687033333,0.000816633,0.007516667,19.17,0.57,10.0,7.56,1009.42,10.43,0.04,8.0,0.0,6.46,0.0,2016-01
2016-01-24 18:38:00,0.739883333,0.000266667,0.040533333,0.004833333,0.007116667,0.012083333,0.3481,0.000983333,0.004,0.001,0.554133333,0.001133333,0.3712,23.13,0.67,10.0,23.13,1024.88,2.16,0.03,336.0,0.0,13.81,0.0,2016-01
2016-01-09 22:50:00,1.612866667,3.33e-05,0.163416667,0.00555,0.00675,0.0128,0.355116667,0.001,0.004,0.099216667,0.206716667,0.001166667,0.003783333,37.41,0.87,8.55,33.32,1019.78,5.14,1.0,50.0,0.0,33.76,0.0,2016-01
2016-01-05 17:32:00,0.455783333,0.000266667,0.040816667,0.1203,0.007016667,0.012233333,0.02685,0.001,0.004166667,0.001483333,0.559,0.00065,0.4381,23.21,0.34,10.0,23.21,1035.41,2.6,0.0,272.0,0.0,-0.83,0.0,2016-01
2016-01-28 03:40:00,1.537933333,0.11705,0.462483333,0.00465,0.007183333,0.012916667,0.031633333,0.700016667,0.004,0.001616667,0.08315,0.001116666,0.003066667,33.23,0.66,10.0,28.26,1007.3,5.3,0.14,184.0,0.0,23.03,0.0,2016-01
2016-01-11 21:37:00,1.737166667,6.67e-05,0.143266667,0.00485,0.006733333,0.01235,0.028666667,0.001,0.004,0.001516667,1.1565,0.000800033,0.002816667,18.54,0.61,10.0,13.69,1018.52,3.24,0.07,242.0,0.0,7.43,0.0,2016-01
2016-01-18 21:32:00,2.167616667,3.33e-05,0.187533333,0.005116667,0.007566667,0.012816667,0.279816667,0.000983333,0.004,0.097216667,1.0394,0.000983333,0.003566667,14.53,0.51,9.92,-0.56,1011.32,14.54,0.08,289.0,0.0,-0.42,0.0,2016-01
